
Currently Loaded Modules:
  1) autotools      4) rocm/6.0.2     7) openmpi4/4.1.5
  2) cmake/3.25.2   5) gnu12/12.2.0   8) hpcfund
  3) prun/2.3       6) ucx/1.14.0     9) rocshmem/1.6.3

 

1, 256, 1
Rank 0, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 4, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 3, ROC_SHMEM 
Rank 6, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=1
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,4,size,8388608, iter, 2, time, 5.113602, bw, 3.055581
peer,4,size,16777216, iter, 2, time, 10.060643, bw, 3.106169
peer,4,size,33554432, iter, 2, time, 20.440331, bw, 3.057686
peer,5,size,32, iter, 2, time, 0.063200, bw, 0.000943
peer,5,size,64, iter, 2, time, 0.066880, bw, 0.001782
peer,5,size,128, iter, 2, time, 0.058400, bw, 0.004083
peer,5,size,256, iter, 2, time, 0.061280, bw, 0.007781
peer,5,size,512, iter, 2, time, 0.064160, bw, 0.014864
peer,5,size,1024, iter, 2, time, 0.064320, bw, 0.029654
peer,5,size,2048, iter, 2, time, 0.059040, bw, 0.064612
peer,5,size,4096, iter, 2, time, 0.061920, bw, 0.123214
peer,5,size,8192, iter, 2, time, 0.069280, bw, 0.220248
peer,5,size,16384, iter, 2, time, 0.070080, bw, 0.435468
peer,5,size,32768, iter, 2, time, 0.078560, bw, 0.776925
peer,5,size,65536, iter, 2, time, 0.102720, bw, 1.188381
peer,5,size,131072, iter, 2, time, 0.136800, bw, 1.784657
peer,5,size,262144, iter, 2, time, 0.212480, bw, 2.298014
peer,5,size,524288, iter, 2, time, 0.370240, bw, 2.637652
peer,5,size,1048576, iter, 2, time, 0.670561, bw, 2.912678
peer,5,size,2097152, iter, 2, time, 1.292640, bw, 3.021922
peer,5,size,4194304, iter, 2, time, 2.498721, bw, 3.126605
peer,5,size,8388608, iter, 2, time, 5.235203, bw, 2.984608
peer,5,size,16777216, iter, 2, time, 10.267844, bw, 3.043487
peer,5,size,33554432, iter, 2, time, 20.500488, bw, 3.048713
peer,6,size,32, iter, 2, time, 0.066080, bw, 0.000902
peer,6,size,64, iter, 2, time, 0.059840, bw, 0.001992
peer,6,size,128, iter, 2, time, 0.060960, bw, 0.003911
peer,6,size,256, iter, 2, time, 0.064960, bw, 0.007340
peer,6,size,512, iter, 2, time, 0.060800, bw, 0.015685
peer,6,size,1024, iter, 2, time, 0.060641, bw, 0.031453
peer,6,size,2048, iter, 2, time, 0.059840, bw, 0.063748
peer,6,size,4096, iter, 2, time, 0.060960, bw, 0.125154
peer,6,size,8192, iter, 2, time, 0.065920, bw, 0.231475
peer,6,size,16384, iter, 2, time, 0.068160, bw, 0.447735
peer,6,size,32768, iter, 2, time, 0.079840, bw, 0.764470
peer,6,size,65536, iter, 2, time, 0.097280, bw, 1.254837
peer,6,size,131072, iter, 2, time, 0.138080, bw, 1.768113
peer,6,size,262144, iter, 2, time, 0.211360, bw, 2.310192
peer,6,size,524288, iter, 2, time, 0.358880, bw, 2.721144
peer,6,size,1048576, iter, 2, time, 0.671840, bw, 2.907133
peer,6,size,2097152, iter, 2, time, 1.267041, bw, 3.082976
peer,6,size,4194304, iter, 2, time, 2.512961, bw, 3.108888
peer,6,size,8388608, iter, 2, time, 5.151522, bw, 3.033089
peer,6,size,16777216, iter, 2, time, 10.233764, bw, 3.053623
peer,6,size,33554432, iter, 2, time, 19.840967, bw, 3.150054
peer,7,size,32, iter, 2, time, 0.064960, bw, 0.000918
peer,7,size,64, iter, 2, time, 0.058720, bw, 0.002030
peer,7,size,128, iter, 2, time, 0.065280, bw, 0.003652
peer,7,size,256, iter, 2, time, 0.059200, bw, 0.008055
